source_file,abstract,pyrolysis_related,include_in_oil_db,reason,flags
S0959652621039457__META_ABS.xml,"Title: Value-added products from pyrolysis of hydrochar derived from polyvinyl chloride and alkali coal
Abstract: This work targets to produce multi value-added products by pyrolysis of hydrochars obtained from co-hydrothermal carbonization (co-HTC) of PVC and alkali coal. The hydrochars pyrolysis was carried out with a downdraft fixed bed reactor. The results indicate that HTC promoted the damage of oxygen functional groups, and the fixed carbon content and calorific value were considerably improved after co-HTC. The entire pyrolysis was delayed for coal hydrochar due to the increase of stable compositions in coal structure and improvement of coal rank. Besides, the PVC addition weakened this delay because of its instability, which could be verified by the activation energy. The H2 and CH4 yields increased in syngas, while the CO2 yield was concurrently reduced because of the removal of oxygen by decarboxylation. The obtained H2/CO ratio of syngas from hydrochar pyrolysis ranged from 1.34 to 4.33 depending on the pyrolysis parameters. The tar yield from hydrochar pyrolysis was lower than that of raw coal, which was ascribed to the lower degree of crosslinking in hydrochar facilitating the release of tar. The aromatic degree and rich pore structures of char indicated its great potential for contaminants adsorption which was further confirmed by the malachite green adsorption experiments. These findings could provide comprehensive knowledge on producing multi value-added products (hydrogen-rich syngas, poly-aromatic tar and adsorbent-char) from hydrochar pyrolysis, which would promote the economical utilization of high alkali coal and chlorinated wastes.",YES,NO,"Co-pyrolysis with alkali coal and biomass-like feedstock, with no focus on pure plastic oil composition or fingerprint data.",CO_PYROLYSIS;TARGET_HYDROGEN;TARGET_AROMATICS;OIL_NOT_MAIN_PRODUCT
S0196890419307575__META_ABS.xml,"Title: Catalytic microwave-assisted pyrolysis of plastic waste over NiO and HY for gasoline-range hydrocarbons production
Abstract: Recovering fuels or chemicals from plastic waste via pyrolysis is an innovative and promising route for both energy saving and refuse elimination. In this study, catalytic microwave-assisted pyrolysis of low-density polyethylene (LDPE) was performed to simultaneously improve yield and quality of gasoline-range products. NiO and HY zeolite were respectively used as in-situ and ex-situ catalysts in a two-stage pyrolysis-catalysis system. The results showed that the optimum pyrolysis and catalysis temperatures were 500 °C and 450 °C, respectively, with 56.53 wt% oil product and 93.80% gasoline-range fraction achieved. The content of high-octane-number compounds, primarily aromatics and isomerized aliphatics, increased from 23.5% to 80.4% as HY to LDPE ratio rose from 0 to 1:5. The optimized balance between oil yield and oil quality was obtained at the HY to LDPE ratio of 1:10. The presence of NiO during co-catalysis slightly decreased the oil yield by 5.3–8.5 wt%. Meanwhile, the production of aromatics was promoted obviously while the yield of normal aliphatics was inhibited, which were both favorable to improve the octane number of the oil product. The improved performance of co-catalysis could be related to the suitable hydrogen abstraction ability of NiO, which produced enormous alkenes. Subsequently, cycloalkenes and aromatics were synthesized through Diels-Alder reactions over the catalysis of HY. This co-catalysis approach in the microwave reactor provides a potentially profitable way to convert plastic waste into high-quality and high-yield gasoline fuels.",YES,NO,"The study focuses on optimizing gasoline-range hydrocarbons and aromatics production, with oil composition data secondary to fuel quality and octane number enhancement.",TARGET_AROMATICS;OIL_NOT_MAIN_PRODUCT
S0165237006001227__META_ABS.xml,"Title: Catalytic pyrolysis of LDPE over H-beta and HZSM-5 zeolites in dynamic conditions Study of the evolution of the process
Abstract: The effect of the addition of a nanocrystalline H-beta zeolite in the pyrolysis of a commercial LDPE has been studied using dynamic conditions in a thermobalance and in a batch reactor, the results have been compared with those obtained using a HZSM-5 zeolite. The H-beta catalyst has an important influence on the decomposition of the polymer even at very low zeolite concentration. Although this mixture has a saturating effect at a certain concentration of catalyst (around 7%), a remarkable effect in the first steps of LDPE decomposition as increasing the catalyst loading has been observed. This important catalytic effect has been attributed to the external acid sites present in the H-beta zeolite. The study of the gaseous products evolved in the catalytic pyrolysis shows the influence of the structure and the temperature on the composition of the gas, and a possible effect of the deactivation of the catalyst. The isobutane/n-butane ratio obtained showed an important variation with temperature and was higher in the gas produced using H-beta than with HZSM-5. This different behaviour can be explained by the different pore structure. A preliminary study of the coke formed with the H-beta zeolite has been carried out and the results show that the zeolite causes an important delay in the oxidation process.",YES,NO,"The study focuses on gas product composition and catalyst deactivation, with no mention of liquid/oil composition or yield data.",NO_OIL_INFO;OIL_NOT_MAIN_PRODUCT
S016523701530022X__META_ABS.xml,"Title: Pyrolysis characteristics of glass fiber-reinforced plastic (GFRP) under isothermal conditions
Abstract: The pyrolysis characteristics of GFRP (glass fiber reinforced plastic) were determined under isothermal conditions at 500–1000°C using a thermo-balance reactor (TBR) and wire mesh reactor (WMR). The kinetics parameters for the GFRP were derived using the activation energy, of 28.17kJmol−1, of frequency factor, 2.12s−1, and reaction order, of 0.48–0.8. The structural variations in the GFRP char were determined using BET, SEM, and FT-IR techniques. Organic compounds and polymers were decomposed with increasing temperature. The experimental results showed that increasing the temperature and reaction time favored polymer scission at temperature of 600–1000°C with residence time of 2–10s.",YES,NO,The study focuses on char formation and kinetic parameters without reporting liquid/oil composition or yield data.,NO_OIL_INFO
S001623612403165X__META_ABS.xml,"Title: Metal-loaded biochar catalyzed pyrolysis of wood-plastic composite waste into gasoline and aromatic hydrocarbons
Abstract: A serial of biochar supported Fe catalysts (c-Fe5/L, c-Fe10/L, c-Fe20/L and c-Fe30/L) were prepared and applied to catalytic pyrolysis of wood-polyethylene composites (WPE). H-ZSM-5 and c-Fe were used as comparative catalysts. Under the influence of c-Fe20/L, pyrolysis products of WPE mainly include C5-C12 aliphatic hydrocarbons (35.4 %), monocyclic aromatic hydrocarbons (MAHs, 50.5 %) and polycyclic aromatic hydrocarbons (PAHs, 11.2 %). C-Fe20/L exhibits excellent deoxygenation ability and gives the highest MAHs selectivity. This is related to the well-dispersed Fe0 species with high activity, uniform mesoporous pore size (2.17 nm), high specific surface area (453.58 m2/g), and high acid amount (14.55 mmolNH3/g) of c-Fe20/L. In addition, the effects of different pyrolysis conditions (catalyst dosage and pyrolysis temperature) on the distribution of WPE pyrolysis products were explored. The c-Fe20/L reusability was also studied. The c-Fe20/L still maintains high deoxygenation ability after three repeated uses.",YES,NO,"Co-pyrolysis of wood-plastic composite waste with biomass, no pure plastic-only condition or usable oil fingerprint data for plastic-to-oil inference.",CO_PYROLYSIS;OIL_NOT_MAIN_PRODUCT
S016523702300400X__META_ABS.xml,"Title: Thermochemical degradation of agricultural mulch films for potential organic fertilizer precursors: Low-temperature pyrolysis in nitric acid
Abstract: Polyethylene mulch films (PEMFs) are widely used in agriculture to boost crop yields but pose significant environmental challenges due to their non-degradable nature. This study investigated the pyrolysis of PEMFs in nitric acid (HNO3) using micro-glass reactors under mild conditions for the production of thermochemical degradation products (TDP) as potential organic fertilizer precursors. The effects of HNO3 concentration (10–60 %), HNO3:PEMF ratio (0.5–2), pyrolysis temperature (150–250 °C), and reaction time (1 – 45 min) on the yield of TDP, tetrahydrofuran-soluble fraction (THF-S), tetrahydrofuran-insoluble fraction (THF-IS), and HNO3 consumption were studied. SEM, elemental analysis, GPC, and FTIR were employed to assess product characteristics and degradability potential. Optimal conditions were HNO3 concentration of 36 %, HNO3:PEMF ratio of 0.5, pyrolysis temperature of 200 °C, and reaction time of 10 min. Higher temperatures or longer time would lead to TDP condensation to carbonaceous residues. The introduction of N and O-containing functional groups in TDP suggested its potential as an organic soil fertilizer. This study presents a novel, eco-friendly, and cost-effective solution to address the waste PEMF disposal problem.",YES,NO,"The study focuses on producing organic fertilizer precursors via acid-assisted pyrolysis of PE mulch films, with no reported oil composition or liquid product fingerprint data.",TARGET_AROMATICS;NO_OIL_INFO
S0920586118316912__META_ABS.xml,"Title: Carbon nanotubes (CNTs) production from catalytic pyrolysis of waste plastics: The influence of catalyst and reaction pressure
Abstract: The production of carbon nanotubes (CNTs) by catalytic pyrolysis of plastics is an environmentally friendly and promising method of waste treatment and energy/materials production. Three types of metal catalysts (Fe/cordierite, Ni/cordierite and Ni-Mg/cordierite) were utilized during the catalytic pyrolysis process of polypropylene in this work. Meanwhile, the influence of reaction pressure (0.5–1.25 MPa) on the synthesis of CNTs was investigated. Carbon formation, especially CNTs, through catalytic pyrolysis of plastics has been tested in a fixed bed reactor, and the materials have been analyzed by temperature program oxidation (TPO), scanning electron microscopy (SEM), high resolution transmission electron microscopy (TEM) and Raman spectroscopy. The highest yield around 93 wt.% filamentous carbon was obtained using the Ni-based catalyst. The strong metal-support interaction within the Ni-Mg-based catalyst suppressed CNTs growth and resulted in shorter and irregular cylindrical carbon tubes. The yield of more uniform and thick CNTs increased with the additional of appropriate reaction pressure, especially at 1.0 MPa (198 mg/gPP). However, an excessive reaction pressure weakened CNTs growth and produced shorter length and larger diameters (around 30–50 nm) CNTs. The fraction of CNTs decreased when the reaction pressure was higher than 0.5 MPa.",YES,NO,Main focus is on CNT production with no meaningful oil composition or yield data reported.,TARGET_CNT;NO_OIL_INFO
0141391096000778__META_ABS.xml,"Title: Thermal degradation of polyethylene mixed with poly(vinyl chloride) and poly(ethyleneterephthalate)
Abstract: Thermal degradation of plastics such as polyethylene (PE), poly(vinylchloride) (PVC), poly(ethyleneterephthalate) (PET) and their mixtures (PE + PVC and PE + PET) was studied at 430 °C by batch operation to analyse the conversion of waste plastics into fuel oil. A visual inspection of the inside of the reactor was made and the macroscopic process of degradation was monitored. Products of degradation were classified into three groups: gases, liquids and residues in the reactor. The degradation of PE produced liquid products which consisted of C5-C25 fraction of hydrocarbons with a yield of 70 wt%. On the other hand, the degradation of PVC produced only 4.7 wt% liquid products which consisted of C5-C20 fraction of hydrocarbons and the degradation of PET produced no liquid products. The effect of mixing PVC and PET with PE on the yield and compositions of liquid products was investigated. The addition of either PVC or PET to PE decreased the overall liquid products yield; however, it promoted the degradation of PE into low molecular weight liquid hydrocarbon products.",YES,YES,"PE single-polymer pyrolysis with detailed C5-C25 liquid yield and composition data, and mixture effects on oil yield and molecular weight distribution.",SINGLE_PLASTIC;HAS_OIL_YIELD_DATA;HAS_OIL_COMPOSITION;GENERAL_CATALYST
S221334372302136X__META_ABS.xml,"Title: Boosting the selective catalytic pyrolysis of plastic waste polylactic acid to monomer
Abstract: Polylactic acid (PLA), as the most popular biodegradable polymers, has considered as a potential substitute for the petroleum-based plastics, but its large-scale applications are still limited because of lacking advisable wastes management strategies. Herein, we report a heterogeneous bimetallic FeNi catalyst for the selective catalytic pyrolysis of PLA to monomer under the isothermal temperature, solvent-free conditions. A series of Fe-based catalysts were prepared with a view to facilitate lactide conversion and improve its selectivity by tuning the properties of all Fe species. The optimal catalyst Fe10Ni1 @NC shows excellent catalytic performance with a 73% yield of lactide, which is mainly attributed to the “synergistic effect” between all Fe species sites and FeNi alloys and the basic of N-dope carbon matrix. It’s discovered that Fe/Fe,C/Fe3O4 sites are beneficial for the cleavage of ester linkages, and the FeNi alloys formed by introducing low amounts of Ni to Fe sites show better selectivity for the ring cyclization step. This work not only develops the pyrolysis methods of biodegradable plastic wastes to obtain the high-value chemicals and also contributes toward a circular economy.",YES,NO,"The study focuses on selective monomer (lactide) production from PLA pyrolysis, with no reported oil composition or liquid product fingerprint data.",TARGET_AROMATICS;NO_OIL_INFO;OIL_NOT_MAIN_PRODUCT
S0301479723014688__META_ABS.xml,"Title: Experimental investigation on slow thermal pyrolysis of real-world plastic wastes in a fixed bed reactor to obtain aromatic rich fuel grade liquid oil
Abstract: Plastic wastes have become one of the biggest global environmental issues and thus recycling such massive quantities is targeted. Thermal pyrolysis has been the most suitable approach to convert the waste plastic into a source of energy. This study aims to compare the thermal pyrolysis of waste plastic with that of the modal plastic compounds in a fixed bed reactor. The liquid oil, obtained from the thermal pyrolysis of HDPE, LDPE, PP and PS wastes were characterized using FT-IR, GC-MS and 1H NMR. Also, their fuel properties such as viscosity and calorific values were characterized using parallel plate rheometer and bomb calorimeter respectively. C10–C44 paraffins and C10–C22 olefins were obtained along with aromatics and alcohols in different type of plastic waste pyrolysis oil. The viscosity of the plastic oil is within kerosene and diesel range. The calorific values of the oils are at par with the Petro fuels.",YES,YES,"HDPE, LDPE, PP, and PS single-plastic pyrolysis with detailed GC-MS oil composition and fuel properties reported.",SINGLE_PLASTIC;HAS_OIL_COMPOSITION;HAS_OIL_YIELD_DATA;GENERAL_CATALYST
S2212982024002816__META_ABS.xml,"Title: Feedstock recycling of single-use garment simultaneously using CO2 and MSW incinerator bottom ash
Abstract: This study is aimed at proposing a feedstock recycling approach to make value-added monomer from single-use garment like stocking waste (SW) using incinerator bottom ash catalyst (IBAC). SW is made mainly of nylon 6 (>80 wt%) with minor components such as polyurethane. Thermochemical SW decomposition pathways are identified by evolved gas analysis and single-shot pyrolysis analysis, confirming that caprolactam (a value-added chemical re-used for manufacturing nylon 6) is the major product. IBAC is composed mainly of alkaline metal oxides (e.g., CaO). The use of IBAC in thermochemical SW conversion at 500 °C under CO2 atmosphere increases the yield of caprolactam reaching 70.8 wt% (20 % higher than non-catalytic SW conversion (59.2 wt%)). Moreover, the caprolactam yield corrected to the nylon 6 content of SW is 86.8 wt%. The enhancement of caprolactam production by IBAC in CO2 is most likely due to the synergistical effect of IBAC and CO2 on promoting the molecular interaction of amide groups present on SW. It is hoped that this study brings the idea of new applications of concurrently reusing textile waste (e.g., SW) and municipal solid waste-treatment byproduct (e.g., IBAC).",YES,NO,"The study focuses on caprolactam production from nylon 6 waste, with no reported oil composition or liquid product fingerprint data.",TARGET_AROMATICS;NO_OIL_INFO
S2451904921000342__META_ABS.xml,"Title: Utilization of LDPE plastic waste on the quality of pyrolysis oil as an asphalt solvent alternative
Abstract: Natural asphalt cannot be used directly because of hardness and low penetration, so it needs to be softened with a solvent. A solvent that can be used is from oil plastic pyrolysis as an alternative additive. Plastics are now an inseparable item from daily necessities and are the largest pollutant on the environment. Plastic is a polymer that is difficult to be decomposed, and one way to decompose it is through pyrolysis or thermal cracking. This research studies the quality effect of low-density polyethylene (LDPE) plastics waste on the quantity and quality of oil yield produced through the pyrolysis process in the three reactor outlets. LDPE plastics waste used was distinguished: LDPE-White, LDPE Mixed-plastic, and LDPE Blend-plastic. The results showed that, in the process of plastic pyrolysis LDPE, in addition to affecting the yield of produced oil, the quality of plastic is also influenced by the length of time of pyrolysis. The better the quality of the plastic is, the higher the oil yield and the shorter the pyrolysis times are. LDPE plastic pyrolysis at 250 °C produces the maximum yield. Most oil yields, namely 99.78%, 75.60%, and 50.29% were produced by LDPE white plastics, mixed plastics, and blend plastics, respectively, when pyrolyzed for 110, 180, and 270 min. The economic yields of each plastic of 88.78%, 60.68%, and 40.35% were generated if each was hydrolyzed for 60, and 80 min.",YES,YES,LDPE single-polymer pyrolysis with detailed oil yield data and quality assessment under varying conditions.,SINGLE_PLASTIC;HAS_OIL_YIELD_DATA;GENERAL_CATALYST
